PractitionerID,FirstName,LastName,Specialty,Phone
PR00001,Sarah,Patterson,Cardiology,(338)368-9063
PR00002,Gabriela,Oconnell,General,+1-225-189-5341x748
PR00003,Andrea,May,Emergency,881-614-9187x82700
PR00004,Brianna,Lara,Oncology,(294)470-4869x3468
PR00005,Benjamin,Kirby,General,(193)215-7927
PR00006,Kimberly,Ortiz,Pediatrics,001-920-325-7759x336
PR00007,Jessica,Smith,General,(307)414-7002
PR00008,Lindsey,Martin,Emergency,149.378.5000x3785
PR00009,James,Phillips,General,913-086-7251x01358
PR00010,Jason,Hutchinson,Oncology,+1-616-571-5429
PR00011,Kelli,Wilson,Oncology,+1-641-002-5260x6276
PR00012,Raymond,Smith,Cardiology,+1-364-852-1442x1814
PR00013,Julia,James,Pediatrics,219.010.5251
PR00014,Ryan,Hale,Oncology,039-988-0886x98733
PR00015,Lisa,Brooks,Cardiology,(910)866-9450
PR00016,Katrina,Alvarado,Pediatrics,629-391-7538x1984
PR00017,Jeremy,Moore,Oncology,686-783-2459x18822
PR00018,Victoria,Summers,Emergency,(303)137-7303
PR00019,Katie,Hurley,Cardiology,+1-255-173-4611x6620
PR00020,Michael,Bryan,Cardiology,+1-443-867-2907x104
PR00021,Carla,Carpenter,Emergency,+1-858-415-6101x7971
PR00022,Jonathan,Peterson,Pediatrics,001-043-515-0067x47417
PR00023,Nicole,Morris,Emergency,001-830-854-0789x871
PR00024,Ashley,Guerra,Emergency,+1-621-895-2623x8700
PR00025,Jillian,Montgomery,Cardiology,+1-923-349-4422x37451
PR00026,Robin,Villanueva,Pediatrics,232.844.0623x449
PR00027,Cheryl,Anderson,General,243-352-7210
PR00028,Tanya,Hanson,Oncology,125-899-5740x69651
PR00029,Michael,Rubio,Cardiology,276-296-9937x439
PR00030,Peter,Cooper,Cardiology,424.526.3825x247
PR00031,Shannon,Mooney,Oncology,217-416-1317x95664
PR00032,Larry,Thompson,Cardiology,851.652.2631x726
PR00033,Charles,Bradley,Emergency,835-288-4771x0689
PR00034,Kiara,Garrett,Oncology,519-024-3475
PR00035,Daniel,Garcia,Emergency,(366)555-6197x17730
PR00036,Sheila,Brown,Emergency,+1-249-955-1559x2827
PR00037,David,Thompson,Pediatrics,+1-114-131-3224x534
PR00038,John,Farrell,Pediatrics,+1-225-197-8431x3695
PR00039,William,Kerr,Emergency,805.457.0144
PR00040,Michael,Wheeler,Cardiology,936-922-7310x6581
PR00041,Alison,Thompson,General,+1-438-965-0246x501
PR00042,Melissa,Cohen,Emergency,299.452.3899
PR00043,David,Austin,Pediatrics,001-623-805-2888x7784
PR00044,Sheila,Compton,Cardiology,904.890.8858x2668
PR00045,Austin,Adams,General,(449)726-2617
PR00046,Glenn,Henderson,Cardiology,001-975-924-6583x463
PR00047,James,Jones,Oncology,6661561292
PR00048,Joseph,Dixon,Pediatrics,001-510-260-3225x5017
PR00049,James,Miller,Oncology,+1-283-726-0893x868
PR00050,Cheryl,Mueller,Oncology,873-024-9975x39150
PR00051,Erika,Schmidt,General,6347972944
PR00052,Valerie,Conrad,Pediatrics,006.897.7616x96310
PR00053,Amy,Montoya,Oncology,001-241-245-3273x9885
PR00054,David,Neal,General,(550)919-9829
PR00055,Keith,Delgado,Cardiology,(458)948-4878
PR00056,Michael,Stephens,Oncology,273.335.5040x10909
PR00057,Barbara,Owens,Pediatrics,(606)582-1073x84845
PR00058,Jeremy,Kline,Cardiology,001-722-526-3950x63119
PR00059,Melissa,Vaughan,Emergency,(732)550-7859x0033
PR00060,Tammy,Payne,General,(055)633-4809
PR00061,Sandra,Pruitt,Pediatrics,2417127101
